SQ00131182	广州	https://gz.lianjia.com/	云禧花园	方圆云山诗意云玺	(增城石滩镇)石滩镇中山西路29号	11192	480户	4栋	暂无信息 	2.8元/平米/月	广州市方圆物业管理有限公司	lianjia
SQ00131183	广州	https://gz.lianjia.com/	紫云府&紫郡花园	保利紫云	(白云新市)西苑路103号	48324	2032户	18栋	2015-2020年 	2.9至3.2元/平米/月	广州市保利物业管理有限公司	lianjia
SQ00131184	广州	https://gz.lianjia.com/	松云雅苑	松云雅苑	(白云元下田)丛云路松云雅苑	44215	224户	17栋	2001-2011年 	2元/平米/月	广州市保利物业管理有限公司	lianjia
SQ00131184 	广州	https://gz.lianjia.com/	龙熙寓	保利珑熙	(白云罗冲围)罗冲围松鹤南路36号	42148	271户	4栋	2016年 	2.6至2.8元/平米/月	广州市保利物业管理有限公司	lianjia
SQ00131186	广州	https://gz.lianjia.com/	紫薇花园	紫薇花园	(白云新市)机场路紫薇花园	35945	1118户	8栋	2006-2010年 	1.8至2.5元/平米/月	保利物业发展股份有限公司广州百合花园物业服务中心	lianjia
SQ00131187	广州	https://gz.lianjia.com/	瀚海花园	保利西海岸瀚海花园	(白云金沙洲)彩滨北路保利西海岸瀚海花园	42031	1112户	5栋	2010-2014年 	2.79至2.8元/平米/月	广州市保利物业管理有限公司	lianjia
SQ00131188	广州	https://gz.lianjia.com/	星海花园	保利西海岸星海花园	(白云金沙洲)彩滨北路保利西海岸星海花园	33174	1573户	11栋	2010年 	2.5至5元/平米/月	广州市保利物业管理有限公司	lianjia
SQ00131189	广州	https://gz.lianjia.com/	西子湾	保利西子湾	(白云金沙洲)闻桂街49号	36867	1692户	21栋	2007-2008年 	1.9至2.45元/平米/月	广州市保利物业管理有限公司	lianjia
SQ00131190	广州	https://gz.lianjia.com/	白云山庄	保利白云山庄	(白云元下田)丛云路68号	35568	216户	16栋	2001年 	1.5元/平米/月	保利物业发展股份有限公司广州百合花园物业服务中心	lianjia
SQ00131191	广州	https://gz.lianjia.com/	春天园	保利春天里	"(白云金沙洲)金沙洲悦峰一街保利春天里,晓春街18号,晓春街16号"	31496	394户	12栋	2011年 	2.55元/平米/月	广州市保利物业管理有限公司	lianjia
