baishida,泰宁小区,(罗湖区百仕达)爱国路3013号,50023,4,90天成交0套,1套正在出租,板楼,444户,5栋,35%,3.5,商品房,1993-2000年 ,暂无信息,民水,民电,1元/平米/月,"[114.147448,22.572108]","114.144764,22.574478",深圳乐远喜荟城A店深圳乐远喜荟城A店/太宁路95-5,深圳市新村物业管理有限公司,南京中泰宁田置业开发有限公司,https://sz.lianjia.com/xiaoqu/2411750411611230/
baishida,文康楼,(罗湖区百仕达)爱国路3049-1号,44736,3,90天成交1套,1套正在出租,塔板结合,153户,1栋,30%,2.29,商品房,1996年 ,暂无信息,民水,民电,1元/平米/月,"[114.146395,22.569176]","114.144764,22.574478",深圳乐远喜荟城A店深圳乐远喜荟城A店/太宁路95-5,文康楼物业,郑州康文置业有限公司,https://sz.lianjia.com/xiaoqu/2412497628180649/
baishida,东门北路2075号,(罗湖区百仕达)东门北路2075号,47023,1,90天成交0套,0套正在出租,塔板结合,182户,8栋,35%,3.2,商品房/集资房,1982-1984年 ,暂无信息,暂无信息,暂无信息,0.8元/平米/月,"[114.13967286082,22.565325836824]","114.137555,22.562293",深圳德佑御龙天地A店深圳德佑御龙天地A店/华丽路2062号,无物业管理服务,暂无信息,https://sz.lianjia.com/xiaoqu/2411048866114/
baishida,东晓路1022号大院,(罗湖区百仕达)东晓路1022号,49737,1,90天成交0套,0套正在出租,板楼/塔板结合,72户,3栋,30.1%,2.78,商品房/经济适用房,1985-1999年 ,暂无信息,民水,民电,0.8元/平米/月,"[114.143631,22.578984]","114.143995,22.578356",深圳德佑百仕达太安路A店深圳德佑百仕达太安路A店/东乐花园布心路1023号82栋1B,深圳百仕达物业管理有限公司,深圳市百仕达实业有限公司,https://sz.lianjia.com/xiaoqu/2412651498843415/
baishida,罗湖区委宿舍,"(罗湖区百仕达)翠竹路1082号, 翠竹路1084号",50488,0,90天成交0套,1套正在出租,板楼,56户,1栋,30%,3,商品房,1991-2000年 ,暂无信息,商水,商电,3.3元/平米/月,"[114.13689,22.571344]","114.135337,22.570458",深圳乐远马古岭A店深圳乐远马古岭A店/翠竹街道翠平社区翠竹路1147号3栋1层2号,暂无信息, 五指山水墨雨林置业有限公司,https://sz.lianjia.com/xiaoqu/248215185076644/
baishida,东湖医院住宅楼,(罗湖区百仕达)布心路2019号,36450,1,90天成交0套,2套正在出租,塔板结合,92户,4栋,30.1%,4.18,商品房,1983-1993年 ,暂无信息,民水,民电,0.8元/平米/月,"[114.142381,22.580195]","114.142773,22.57817",深圳德佑卫林百仕达豪宅A店深圳德佑卫林百仕达豪宅A店/太安路191,深圳市粤海物业管理有限公司,东湖地产,https://sz.lianjia.com/xiaoqu/248039286452956/
baishida,太明居,(罗湖区百仕达)太安路182号,47769,2,90天成交0套,0套正在出租,板楼,78户,1栋,15%,2.26,商品房,1994-1997年 ,暂无信息,民水,民电,1.8元/平米/月,"[114.136714,22.576746]","114.136371,22.577027",深圳德佑华达园A店深圳德佑华达园A店/翠竹路2042,无物业管理服务,暂无资料,https://sz.lianjia.com/xiaoqu/248938563055178/
baishida,传麒东湖名苑,(罗湖区百仕达)罗湖区布心路与爱国路交汇处,72073,7,90天成交0套,4套正在出租,塔楼/塔板结合,651户,2栋,32%,5.9,商品房,2005-2019年 ,暂无信息,民水,民电,3.6至5.8元/平米/月,"[114.149183,22.577426]","114.143995,22.578356",深圳德佑百仕达太安路A店深圳德佑百仕达太安路A店/东乐花园布心路1023号82栋1B,深圳市深房物业管理有限公司,深房集团开发有限公司,https://sz.lianjia.com/xiaoqu/2414101773038140/
baishida,善水居,(罗湖区百仕达)翠竹路1128号,68358,1,90天成交0套,0套正在出租,未知类型,4户,1栋,暂无信息,暂无信息,商品房,2018年 ,无供暖,暂无信息,暂无信息,4.68元/平米/月,"[114.13839043726,22.572556897719]","114.135337,22.570458",深圳乐远马古岭A店深圳乐远马古岭A店/翠竹街道翠平社区翠竹路1147号3栋1层2号,暂无信息,暂无信息,https://sz.lianjia.com/xiaoqu/24000000017927/
baishida,翠拥华庭二期,(罗湖区百仕达)翠竹路翠拥华庭二期,66235,2,90天成交0套,7套正在出租,塔板结合,377户,2栋,20%,暂无信息,商品房,2004年 ,无供暖,民水,民电,4.2元/平米/月,"[114.137505,22.568588]","114.136433,22.567665",深圳德佑翡翠星空A店深圳德佑翡翠星空A店/翠竹路1052-10,暂无信息,暂无信息,https://sz.lianjia.com/xiaoqu/2420057917566473/
