SQ00131182,保利,保利广州,云禧花园,广东省,广州市,白云区,一线,广州市白云区齐富路196号,700,1,19,6.8,2015年,广州,https://gz.lianjia.com/,云禧花园
SQ00131183,保利,保利广州,紫云府&紫郡花园,广东省,广州市,白云区,一线,广州市白云区西苑路107号,1974,2,11,4.3,2020年,广州,https://gz.lianjia.com/,紫云府&紫郡花园
SQ00131184,保利,保利广州,松云雅苑,广东省,广州市,白云区,一线,广东省广州市白云区丛云路72号,379,1,4,4.5,2001年,广州,https://gz.lianjia.com/,松云雅苑
SQ00131184 ,保利,保利广州,龙熙寓（保利珑熙）,广东省,广州市,白云区,一线,广州市白云区松鹤南街与松鹤街交叉口西南240米 ,269,1,3,3.9,2016年,广州,https://gz.lianjia.com/,龙熙寓
SQ00131186,保利,保利广州,紫薇花园,广东省,广州市,白云区,一线,广州市白云区汇侨中路 ,1096,1,14,3.8,2007年,广州,https://gz.lianjia.com/,紫薇花园
SQ00131187,保利,保利广州,瀚海花园,广东省,广州市,白云区,一线,广州市白云区金沙洲彩滨北路 ,1111,1,7,3.7,2010年,广州,https://gz.lianjia.com/,瀚海花园
SQ00131188,保利,保利广州,星海花园,广东省,广州市,白云区,一线,广东省广州市白云区Y165(黄丽街),1572,2,11,3.2,2010年,广州,https://gz.lianjia.com/,星海花园
SQ00131189,保利,保利广州,西子湾,广东省,广州市,白云区,一线,广州市白云区金沙洲岛环洲二路 ,1596,2,18,3.4,2008年,广州,https://gz.lianjia.com/,西子湾
SQ00131190,保利,保利广州,白云山庄,广东省,广州市,白云区,一线,广州市白云区丛云路68号,192,1,22,4.5,2001年,广州,https://gz.lianjia.com/,白云山庄
SQ00131191,保利,保利广州,春天园,广东省,广州市,白云区,一线,广州市白云区悦峰横街与悦峰一街交叉口西南100米 ,362,1,12,3.2,2010年,广州,https://gz.lianjia.com/,春天园
SQ00131192,保利,保利广州,江岸花园,广东省,广州市,白云区,一线,广东省广州市白云区观涛街9号,1584,2,7,3.8,2010年,广州,https://gz.lianjia.com/,江岸花园
SQ00131193,保利,保利广州,汇海花园,广东省,广州市,白云区,一线,广州市白云区彩滨北路与涛乐街交叉口西200米 ,2746,3,10,3.4,2010年,广州,https://gz.lianjia.com/,汇海花园
SQ00131194,保利,保利广州,半山花园,广东省,广州市,从化区,一线,广州市从化区博学路中南公寓西侧约90米,413,1,31,1,2019年,广州,https://gz.lianjia.com/,半山花园
SQ00131195,保利,保利广州,香逸花园,广东省,广州市,番禺区,一线,广州市番禺区南城路536号,485,1,3,3.6,2013年,广州,https://gz.lianjia.com/,香逸花园
SQ00131196,保利,保利广州,亚奥花园,广东省,广州市,番禺区,一线,广州市番禺区泰山路与黄河路交叉口西100米,859,1,14,2.1,2010年,广州,https://gz.lianjia.com/,亚奥花园
SQ00131197,保利,保利广州,天悦花园,广东省,广州市,海珠区,一线,广东省广州市海珠区跃龙大街22号,3301,4,35,5.5,2005年,广州,https://gz.lianjia.com/,天悦花园
SQ00131198,保利,保利广州,琶洲新村,广东省,广州市,海珠区,一线,广州市海珠区新港东路万胜围地铁站D出口,6080,5,9,4.3,2014年,广州,https://gz.lianjia.com/,琶洲新村
SQ00131199,保利,保利广州,保利康桥,广东省,广州市,海珠区,一线,警安街3号5楼,1012,1,6,1.8,2006年,广州,https://gz.lianjia.com/,保利康桥
SQ00131200,保利,保利广州,海棠花园,广东省,广州市,海珠区,一线,广东省广州市海珠区江燕北路13,2129,3,88,2.1,2014年,广州,https://gz.lianjia.com/,海棠花园
SQ00131201,保利,保利广州,百合花园,广东省,广州市,海珠区,一线,广州市海珠区工业大道中381号 ,3009,4,9,4.4,2004年,广州,https://gz.lianjia.com/,百合花园
SQ00131202,保利,保利广州,保利花园,广东省,广州市,海珠区,一线,广州市海珠区工业大道中400号(近华润万家) ,3670,4,14,2,2004年,广州,https://gz.lianjia.com/,保利花园
