海上国际花园(一期),(浦东北蔡)成山路2399弄2-91号,89871,"['建筑类型', '板楼', '房屋总数', '958户', '楼栋总数', '85栋', '绿化率', '40%', '容积率', '1.2', '交易权属', '商品房/动迁安置房/使用权', '建成年代', '2005-2006年 ', '供暖类型', '自采暖', '用水类型', '民水', '用电类型', '商电/民电']","['物业费', '1.5至2.89元/平米/月', '附近门店', '/', '物业公司', '上海万科物业服务有限公司', '开发商', '上海香溢房地产有限公司']"
由由三村,"(浦东北蔡)严中路140弄,严杨路116弄,严杨路166弄",56141,"['建筑类型', '板楼', '房屋总数', '1228户', '楼栋总数', '95栋', '绿化率', '30%', '容积率', '1.07', '交易权属', '商品房/售后公房/动迁安置房/使用权', '建成年代', '1991-2001年 ', '供暖类型', '自采暖', '用水类型', '民水', '用电类型', '民电']","['物业费', '0.45至0.8元/平米/月', '附近门店', '/严丰路134号', '物业公司', '暂无信息', '开发商', '上海南市房地产开发实业总公司']"
欣顺小区,(浦东北蔡)下南路309弄1-22号,50700,"['建筑类型', '板楼', '房屋总数', '396户', '楼栋总数', '22栋', '绿化率', '28%', '容积率', '1.5', '交易权属', '商品房', '建成年代', '1995-1997年 ', '供暖类型', '自采暖', '用水类型', '民水', '用电类型', '民电']","['物业费', '0.5元/平米/月', '附近门店', '/下南路392号', '物业公司', '上海绿地物业服务有限公司', '开发商', '上海绿地集团']"
莲园路488-518号,"(浦东北蔡)莲园路518号, 莲园路488号, 莲园路498号, 莲园路508号",45773,"['建筑类型', '板楼', '房屋总数', '96户', '楼栋总数', '4栋', '绿化率', '35%', '容积率', '2', '交易权属', '商品房/售后公房/动迁安置房', '建成年代', '1994-1996年 ', '供暖类型', '自采暖', '用水类型', '民水', '用电类型', '民电']","['物业费', '0.35至0.5元/平米/月', '附近门店', '/北中路372号', '物业公司', '上海莲溪物业管理有限公司', '开发商', '北蔡房产开发商']"
芳华路713弄,(浦东北蔡)芳华路713弄,49183,"['建筑类型', '板楼', '房屋总数', '360户', '楼栋总数', '24栋', '绿化率', '40%', '容积率', '1.68', '交易权属', '商品房/已购公房/动迁安置房', '建成年代', '1994-1996年 ', '供暖类型', '集中供暖/自采暖', '用水类型', '民水', '用电类型', '民电']","['物业费', '0.6元/平米/月', '附近门店', '/芳华路459号', '物业公司', '上海花木物业', '开发商', '上海花木开发有限公司']"
芳草路253弄,(浦东北蔡)芳草路253弄,67910,"['建筑类型', '板楼', '房屋总数', '100户', '楼栋总数', '9栋', '绿化率', '20%', '容积率', '2', '交易权属', '商品房/动迁安置房', '建成年代', '2001年 ', '供暖类型', '自采暖', '用水类型', '民水', '用电类型', '民电']","['物业费', '0.35元/平米/月', '附近门店', '/芳华路459号', '物业公司', '上海源开房地产开发公司', '开发商', '上海裕华']"
莲中路250弄,(浦东北蔡)莲中路250弄,53491,"['建筑类型', '板楼', '房屋总数', '238户', '楼栋总数', '17栋', '绿化率', '40%', '容积率', '1.5', '交易权属', '商品房/动迁安置房', '建成年代', '1994-1997年 ', '供暖类型', '自采暖', '用水类型', '民水', '用电类型', '民电']","['物业费', '0.45至0.8元/平米/月', '附近门店', '/北中路372号', '物业公司', '上海万泰物业管理有限公司', '开发商', '上海建工集团']"
新陈路428弄,(浦东北蔡)新陈路428弄,51729,"['建筑类型', '板楼', '房屋总数', '156户', '楼栋总数', '12栋', '绿化率', '35%', '容积率', '1.4', '交易权属', '商品房', '建成年代', '1993年 ', '供暖类型', '集中供暖/自采暖', '用水类型', '民水', '用电类型', '民电']","['物业费', '0.5元/平米/月', '附近门店', '/', '物业公司', '上海建工物业有限公司', '开发商', '上海建工房产有限公司']"
芳华苑,"(浦东北蔡)芳华路329弄,芳华路503弄",59732,"['建筑类型', '板楼', '房屋总数', '546户', '楼栋总数', '45栋', '绿化率', '30%', '容积率', '1.6', '交易权属', '商品房/使用权', '建成年代', '1994-2001年 ', '供暖类型', '自采暖', '用水类型', '民水', '用电类型', '民电']","['物业费', '0.6至0.65元/平米/月', '附近门店', '/芳华路459号', '物业公司', '上海良新物业', '开发商', '至诚集团']"
花木新村,(浦东北蔡)芳华路310弄,51638,"['建筑类型', '板楼', '房屋总数', '630户', '楼栋总数', '45栋', '绿化率', '30%', '容积率', '1.6', '交易权属', '商品房/动迁安置房', '建成年代', '1994-1996年 ', '供暖类型', '自采暖', '用水类型', '民水', '用电类型', '民电']","['物业费', '0.35至0.8元/平米/月', '附近门店', '/芳华路459号', '物业公司', '上海浦东新区花木物业公司', '开发商', '花木房产']"
