名称,区镇,地址,单价,建筑类型,房屋总数,楼栋总数,交易权属,建成年代,物业费,物业公司,开发商
桃浦三村红棉苑,普陀桃浦,红棉路310弄,39554,板楼,204户,15栋,商品房/售后公房/动迁安置房/使用权,1999年 ,0.8元/平米/月,上海桃浦物业有限公司,西部集团
桃浦一村合欢苑(武威路1051弄),普陀桃浦,武威路1051弄,35535,板楼,420户,17栋,商品房/售后公房/动迁安置房/使用权,1992年 ,0.2至1元/平米/月,上海西部物业有限公司,上海桃浦房地产开发有限公司
锦翔大楼,普陀桃浦,雪松路392弄147号、148号,32804,塔楼,318户,2栋,商品房/售后公房/动迁安置房/使用权,1995年 ,0.6至0.8元/平米/月,上海西部物业有限公司,西部集团
桃浦六村樱花苑,普陀桃浦,雪松路330弄,39090,板楼,950户,41栋,商品房/售后公房/动迁安置房/使用权,1995-1996年 ,0.8至1元/平米/月,上海绿春物业管理有限公司,普陀建筑
荣和怡景园,普陀桃浦,武威东路821弄1-33号,54402,板楼,2694户,16栋,商品房/动迁安置房,2011-2014年 ,1.5元/平米/月,和记物业服务(上海)有限公司,上海荣惠职业有限公司
恒盛鼎城华公馆,普陀桃浦,武威东路788弄,71817,板楼,1631户,46栋,商品房/使用权,2011-2013年 ,2.18元/平米/月,上海泰喜物业管理有限公司,上海盛成置业有限公司
槎浦新家园,普陀桃浦,"金迈路358弄,金迈路359弄",38571,板楼,1343户,113栋,商品房/售后公房/动迁安置房/使用权,2003-2015年 ,0.8至1元/平米/月,金众物业,金众房地产开发
安居金祁新城,普陀桃浦,"祁安路365弄,祁安路368弄",49836,塔楼/板楼,3722户,66栋,商品房/动迁安置房,2005-2011年 ,1至1.25元/平米/月,上海金本科技有限公司,上海金本科技有限公司
桃浦十村（紫藤苑小区银杏路120弄）,普陀桃浦,银杏路120弄,38818,板楼,1298户,55栋,商品房/售后公房/动迁安置房,1995-1999年 ,0.8元/平米/月,上服物业,暂无信息
安达家园,普陀桃浦,真南路3435弄,44182,板楼,248户,22栋,商品房/动迁安置房/使用权,2006年 ,0.8元/平米/月,上海精联物业管理公司,暂无信息
恒盛鼎城圣都汇,普陀桃浦,武威东路888弄,79404,板楼,1508户,46栋,商品房,2011-2012年 ,2.7元/平米/月,上海博嘉物业有限公司,上海兆恒置业有限公司
桃浦十村（紫藤苑小区白丽路701弄）,普陀桃浦,白丽路701弄,38984,板楼,1533户,60栋,商品房/动迁安置房/廉租房,1992-1999年 ,0.8元/平米/月,上海普陀物业有限公司,西部集团
桃浦七村雪松苑,普陀桃浦,雪松路458弄,39307,板楼,4366户,188栋,商品房/售后公房/动迁安置房/使用权/私产/公租房,1995年 ,0.8元/平米/月,普陀物业,西部集团
安居锦竹苑,普陀桃浦,竹柳路50弄,43276,板楼,1338户,13栋,商品房/售后公房/动迁安置房/使用权,2013-2018年 ,1.44元/平米/月,上海上房物业管理有限公司,上海安真房地产有限公司
怡佳公寓,普陀桃浦,连亮路111弄,58535,板楼,983户,30栋,商品房/动迁安置房,2011年 ,0.8至1.42元/平米/月,现代智能物业管理(上海)有限公司,上海怡隆置业有限公司
真南路822弄510支弄,普陀桃浦,真南路822弄510支弄,45775,板楼,352户,44栋,商品房/售后公房/动迁安置房/使用权,1994-1995年 ,0.8元/平米/月,沪西物业,西部集团
真南路822弄521支弄,普陀桃浦,真南路822弄521支弄,46604,板楼,674户,59栋,商品房/动迁安置房/使用权,1994-1997年 ,0.8元/平米/月,沪西物业,无开发商
昆仑花园,普陀桃浦,桃浦路1146弄,0,板楼,76户,27栋,商品房/使用权,1990-2000年 ,暂无信息,暂无信息,暂无信息
美墅,普陀桃浦,真北路108弄,0,板楼,72户,65栋,使用权,2003-2005年 ,暂无信息,暂无信息,暂无信息
华和民祥园（北园）,普陀桃浦,连冠路200弄,0,未知类型,864户,10栋,动迁安置房,2021年 ,暂无信息,上海西部物业有限公司,暂无信息
李子园商务区,普陀桃浦,"交通路4703弄,交通路4621弄",0,板楼,150户,4栋,商品房/使用权,2009年 ,暂无信息,暂无信息,暂无信息
武威路1057弄,普陀桃浦,武威路1057弄,0,板楼,40户,2栋,商品房/使用权,1992年 ,暂无信息,暂无信息,暂无信息
联星丽景苑,普陀桃浦,白丽路185弄,0,板楼,1764户,32栋,商品房/经济适用房/动迁安置房,2012年 ,1.17元/平米/月,上海桃浦物业有限公司,上海桃浦房地产开发有限公司
华盛国际商务花园,普陀桃浦,绥德路118弄,0,板楼,47户,21栋,商品房/使用权,1997-2006年 ,2元/平米/月,上海建政物业, 陕西亿润经贸有限公司 
李子园别墅,普陀桃浦,真南路822弄390支弄,0,板楼,26户,26栋,商品房,1992年 ,1.3元/平米/月,暂无信息,暂无信息
华盛国际商务花园,普陀桃浦,绥德路118弄,0,板楼,47户,21栋,商品房/使用权,1997-2006年 ,2元/平米/月,上海建政物业, 陕西亿润经贸有限公司 
恒达休闲广场,普陀桃浦,白丽路237-257号,0,未知类型,182户,4栋,商品房,2010-2012年 ,暂无信息,暂无信息,暂无信息
金光花苑,普陀桃浦,"桃浦西路955弄, 古浪路355弄",0,板楼,1792户,104栋,商品房/动迁安置房/使用权,1993-2013年 ,0.5元/平米/月,上海金光花园物业公司,暂无信息
康建商务广场,普陀桃浦,真南路1226弄,0,板楼,245户,9栋,商品房/使用权,2008-2009年 ,8元/平米/月,上海康和物业管理有限公司,上海圣鑫投资有限公司
上海国际包装印刷城,普陀桃浦,真南路1051弄,0,塔楼/板楼,1958户,16栋,商品房,2004年 ,暂无信息,暂无信息,暂无信息
