序号,物业,物业公司,小区名称,省,城市名称,区域名称,城市等级,地址,房屋户数,管家数量,楼栋总数,参考房价/万,建成年份
SQ00131090,保利,保利北京,保利罗兰,北京,北京市,昌平区,一线,昌平-沙河-沙阳路34号,5438,8,12,5.1,2012年,北京,https://bj.lianjia.com/,保利罗兰
SQ00131091,保利,保利北京,垄上,北京,北京市,昌平区,一线,昌平小汤山镇南侧立汤路9号,708,7,541,3.8,2010年,北京,https://bj.lianjia.com/,垄上
SQ00131092,保利,保利北京,春天里,北京,北京市,大兴区,一线,大兴区思邈路1号,5514,11,4,1.1,2019年,北京,https://bj.lianjia.com/,春天里
SQ00131093,保利,保利北京,保利茉莉雅苑,北京,北京市,大兴区,一线,北京市大兴区兴华大街辅路19号,2360,5,14,6,2010年,北京,https://bj.lianjia.com/,保利茉莉雅苑
SQ00131094,保利,保利北京,熙悦诚郡,北京,北京市,大兴区,一线,大兴南四环榴乡桥与德贤路交汇处东南角800米处,458,2,8,6.1,2016年,北京,https://bj.lianjia.com/,熙悦诚郡
SQ00131095,保利,保利北京,保利蔷薇,北京,北京市,东城区,一线,北京市东城区培新街9号,733,2,3,11.3,2006年,北京,https://bj.lianjia.com/,保利蔷薇
SQ00131096,保利,保利北京,欣苑,北京,北京市,丰台区,一线,中国北京市丰台区望园路9号,486,1,6,6.7,2004年,北京,https://bj.lianjia.com/,欣苑
SQ00131097,保利,保利北京,佲悦大都汇,北京,北京市,丰台区,一线,丰台汽车博物馆东路东侧,22,2,1,5.5,2020年,北京,https://bj.lianjia.com/,佲悦大都汇
SQ00131098,保利,保利北京,林语公寓,北京,北京市,海淀区,一线,海淀西北旺镇冷泉村,3298,4,54,5.9,2010年,北京,https://bj.lianjia.com/,林语公寓
SQ00131099,保利,保利北京,长远天地,北京,北京市,海淀区,一线,北京市海淀区苏州街|18号,485,5,3,5.4,2002年,北京,https://bj.lianjia.com/,长远天地
SQ00131100,保利,保利北京,海德公园,北京,北京市,海淀区,一线,海淀区西土城路1号院,399,4,9,12.8,2015年,北京,https://bj.lianjia.com/,海德公园
SQ00131101,保利,保利北京,清琴山庄,北京,北京市,海淀区,一线,北京市海淀区团城路,149,2,151,15.4,2008年,北京,https://bj.lianjia.com/,清琴山庄
SQ00131102,保利,保利北京,保利花园,北京,北京市,密云区,一线,北京市密云区阳光街390号,3221,7,14,2,2004年,北京,https://bj.lianjia.com/,保利花园
SQ00131103,保利,保利北京,保利百合,北京,北京市,密云区,一线,北京市密云区水源路,1412,3,9,11,2007年,北京,https://bj.lianjia.com/,保利百合
SQ00131104,保利,保利北京,广华新城,北京,北京市,朝阳区,一线,北京市朝阳区南磨房东四环南路(化二股份有限公司西门),3663,6,0,4.9,2017年,北京,https://bj.lianjia.com/,广华新城
SQ00131105,保利,保利北京,和光尘樾,北京,北京市,朝阳区,一线,北京市朝阳区东坝第四使馆区东五环七棵树出口向东3公里 ,1404,6,6,3.8,2018年,北京,https://bj.lianjia.com/,和光尘樾
